epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.58,3.018,0.2225,0.1661
epoch_2,2.738,2.537,0.3325,0.2932
epoch_3,2.057,2.188,0.42,0.3809
epoch_4,1.485,1.97,0.49,0.4639
epoch_5,1.068,1.891,0.48,0.4597
epoch_6,0.7393,1.679,0.5527,0.5415
epoch_7,0.5557,1.659,0.5527,0.538
epoch_8,0.4197,1.656,0.53,0.509
epoch_9,0.3247,1.6045,0.5825,0.567
epoch_10,0.2532,1.59,0.5576,0.5537
epoch_11,0.1841,1.577,0.55,0.533
epoch_12,0.156,1.631,0.545,0.524
epoch_13,0.12024,1.569,0.5776,0.5625
epoch_14,0.1052,1.557,0.5825,0.5625
epoch_15,0.0999,1.519,0.595,0.5923
epoch_16,0.0873,1.486,0.585,0.573
epoch_17,0.0639,1.5205,0.5723,0.56
epoch_18,0.05566,1.484,0.585,0.574
epoch_19,0.04507,1.473,0.585,0.5737
epoch_20,0.0426,1.468,0.58,0.5737
epoch_21,0.0381,1.458,0.5977,0.5913
epoch_22,0.039,1.454,0.6,0.593
epoch_23,0.04944,1.455,0.6025,0.5938
epoch_24,0.03638,1.442,0.6025,0.5923
epoch_25,0.03705,1.454,0.6025,0.593
