epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.549,3.264,0.2175,0.1632
epoch_2,3.053,2.969,0.305,0.2637
epoch_3,2.766,2.754,0.3325,0.298
epoch_4,2.545,2.607,0.3625,0.3245
epoch_5,2.355,2.459,0.3875,0.3345
epoch_6,2.188,2.33,0.4075,0.3606
epoch_7,2.04,2.2,0.4424,0.4006
epoch_8,1.932,2.092,0.4575,0.415
epoch_9,1.801,2.023,0.475,0.4414
epoch_10,1.693,1.939,0.5024,0.4692
epoch_11,1.615,1.864,0.5024,0.467
epoch_12,1.534,1.825,0.5,0.4607
epoch_13,1.443,1.749,0.5225,0.492
epoch_14,1.372,1.696,0.555,0.5327
epoch_15,1.305,1.658,0.565,0.538
epoch_16,1.247,1.593,0.575,0.549
epoch_17,1.209,1.595,0.5527,0.529
epoch_18,1.127,1.547,0.585,0.5596
epoch_19,1.082,1.503,0.585,0.563
epoch_20,1.033,1.467,0.605,0.579
epoch_21,0.9917,1.43,0.6177,0.598
epoch_22,0.9546,1.405,0.63,0.6104
epoch_23,0.935,1.405,0.63,0.6094
epoch_24,0.875,1.354,0.6377,0.6167
epoch_25,0.8584,1.357,0.645,0.6265
epoch_26,0.8564,1.355,0.64,0.6206
epoch_27,0.835,1.361,0.645,0.6245
