,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
8,epoch_24,0.1866,1.3019999999999998,0.7476,0.7476,0.7476,0.7744,0.7773,0.7666
9,epoch_33,0.1207,0.6577,0.845,0.845,0.845,0.8594,0.8667,0.856
6,epoch_13,0.3906,0.8496,0.7534,0.7534,0.7534,0.772,0.7856,0.768
7,epoch_21,0.2417,0.9329999999999999,0.7344,0.7344,0.7344,0.742,0.74,0.7373
5,epoch_27,0.1738,0.5874,0.8320000000000001,0.8320000000000001,0.8320000000000001,0.8394,0.8403,0.8354
4,epoch_28,0.1616,0.8735,0.7554,0.7554,0.7554,0.757,0.778,0.7607
3,epoch_16,0.3196,0.9873,0.6816,0.6816,0.6816,0.711,0.7114,0.7065
2,epoch_27,0.1682,0.9179999999999999,0.7354,0.7354,0.7354,0.774,0.747,0.754
1,epoch_7,0.6187,0.8247,0.746,0.746,0.746,0.7646,0.765,0.7505
10,epoch_33,0.1227,0.7163,0.8267,0.8267,0.8267,0.8390000000000001,0.851,0.838
