,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
6,epoch_15,0.3323,0.9824,0.782,0.782,0.782,0.8059999999999999,0.8306,0.81
4,epoch_18,0.2861,0.6675,0.7929999999999999,0.7929999999999999,0.7929999999999999,0.7925,0.807,0.7905
5,epoch_15,0.3464,0.4946,0.8564,0.8564,0.8564,0.8623,0.8574,0.8574
3,epoch_35,0.10455,0.9520000000000001,0.726,0.726,0.726,0.76,0.7393,0.7456
2,epoch_13,0.3806,1.055,0.718,0.718,0.718,0.753,0.7390000000000001,0.73
1,epoch_29,0.1498,1.2409999999999999,0.77,0.77,0.77,0.8037,0.8066,0.7983
8,epoch_7,0.586,1.1909999999999998,0.6665,0.6665,0.6665,0.695,0.7207,0.6895
9,epoch_27,0.1606,0.667,0.8726,0.8726,0.8726,0.89,0.8696,0.866
7,epoch_19,0.252,0.6455,0.7856,0.7856,0.7856,0.8003,0.8066,0.8
10,epoch_24,0.1912,0.595,0.8364,0.8364,0.8364,0.8516,0.867,0.8525
