epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.908,3.904,0.0425,0.007133
epoch_2,3.9,3.902,0.05,0.006115
epoch_3,3.896,3.898,0.05,0.00732
epoch_4,3.89,3.9,0.0475,0.01067
epoch_5,3.889,3.893,0.07,0.02719
epoch_6,3.88,3.885,0.0775,0.02887
epoch_7,3.873,3.873,0.0875,0.02959
epoch_8,3.865,3.87,0.0975,0.03546
epoch_9,3.861,3.867,0.0975,0.039
epoch_10,3.857,3.861,0.1025,0.0397
epoch_11,3.848,3.854,0.1125,0.04306
epoch_12,3.844,3.852,0.1225,0.04886
epoch_13,3.844,3.85,0.1225,0.04614
epoch_14,3.84,3.846,0.12,0.05276
epoch_15,3.83,3.842,0.1475,0.0648
epoch_16,3.826,3.842,0.13,0.05872
epoch_17,3.83,3.838,0.1425,0.06305
epoch_18,3.822,3.836,0.1475,0.0652
epoch_19,3.822,3.836,0.145,0.06415
epoch_20,3.822,3.834,0.145,0.0634
epoch_21,3.828,3.834,0.1425,0.063
epoch_22,3.824,3.838,0.1475,0.0654
epoch_23,3.83,3.832,0.145,0.0639
epoch_24,3.824,3.836,0.145,0.0637
