epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.691,3.492,0.1475,0.1226
epoch_2,3.309,3.242,0.2025,0.1525
epoch_3,3.086,3.016,0.2325,0.185
epoch_4,2.908,2.91,0.24,0.2062
epoch_5,2.781,2.863,0.26,0.2247
epoch_6,2.668,2.803,0.2976,0.2688
epoch_7,2.584,2.73,0.2725,0.2496
epoch_8,2.502,2.701,0.3,0.2656
epoch_9,2.438,2.643,0.2976,0.2742
epoch_10,2.371,2.684,0.315,0.2869
epoch_11,2.318,2.594,0.3274,0.2988
epoch_12,2.27,2.58,0.315,0.284
epoch_13,2.209,2.514,0.3425,0.321
epoch_14,2.168,2.535,0.3374,0.3135
epoch_15,2.105,2.494,0.36,0.3347
epoch_16,2.088,2.504,0.36,0.3416
epoch_17,2.113,2.49,0.355,0.3313
epoch_18,2.102,2.486,0.3774,0.3567
epoch_19,2.084,2.488,0.37,0.3462
